At: 2025-04-25 15:36:59, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:39:47, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:42:15, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:42:19, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:42:31, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:42:37, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:44:45, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:48:32, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:48:34, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:48:40, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 15:48:45, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: Audio of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 16:06:08, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 16:06:24, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

At: 2025-04-25 16:06:33, Device Type: smartphone, OS: Android 10, Browser: Chrome Mobile 135.0.0.0, requested: video of YouTube(https://youtube.com/shorts/Mazw8QHLvjE) 

